UID          PID    PPID  C STIME TTY          TIME CMD
cy2550      2069    1597  0 17:07 ?        00:00:00 /usr/libexec/goa-identity-service
cy2550      2075    1597  0 17:07 ?        00:00:00 /usr/libexec/gsd-printer
cy2550      2089    1597  0 17:07 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
cy2550      2096    1597  0 17:07 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
cy2550      2106    1914  0 17:07 ?        00:00:00 /usr/libexec/ibus-memconf
cy2550      2109    1914  0 17:07 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
cy2550      2114    1597  0 17:07 ?        00:00:00 /usr/libexec/ibus-portal
cy2550      2122    1597  0 17:07 ?        00:00:04 /usr/libexec/gvfs-afc-volume-monitor
cy2550      2132    1597  0 17:07 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
cy2550      2138    1821  0 17:07 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.FQARQ2 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
cy2550      2156    1914  0 17:07 ?        00:00:02 /usr/libexec/ibus-engine-simple
cy2550      2190    1742  0 17:07 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.17 /org/gtk/gvfs/exec_spaw/0
cy2550      2216    1597  0 17:07 ?        00:00:05 /usr/libexec/xdg-desktop-portal
cy2550      2220    1597  0 17:07 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
cy2550      2249    1597  0 17:07 ?        00:00:00 /usr/libexec/xdg-document-portal
root        2270    2249  0 17:07 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
cy2550      2279    1597  0 17:07 ?        00:00:01 /usr/libexec/tracker-miner-fs-3
cy2550      2280    1597  0 17:07 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
cy2550      2329    1597  0 17:07 ?        00:00:00 /usr/libexec/gsd-xsettings
root        2333       1  0 17:07 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
cy2550      2339    1597  0 17:07 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
cy2550      2354    1597  0 17:07 ?        00:00:00 /usr/libexec/gvfsd-metadata
cy2550      2393    1597  0 17:07 ?        00:00:00 /usr/libexec/ibus-x11
cy2550      2399    1821  0 17:07 ?        00:00:00 /usr/libexec/mutter-x11-frames
cy2550      2430    1781  0 17:07 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
cy2550      2436    1781  0 17:07 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
cy2550      2597    1597  0 17:08 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
cy2550      2797    1597  0 17:08 ?        00:00:13 /usr/libexec/gnome-terminal-server
cy2550      2804    2797  0 17:08 pts/0    00:00:00 bash
cy2550      2817    1781  0 17:08 ?        00:00:06 /usr/bin/update-notifier
cy2550      3177    1742  0 17:09 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.17 /org/gtk/gvfs/exec_spaw/1
cy2550      4068    1597  0 17:11 ?        00:00:50 /usr/bin/nautilus --gapplication-service
root        4205       1  0 17:23 ?        00:00:08 /usr/libexec/fwupd/fwupd
root        4231       1  0 17:23 ?        00:00:00 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
root        5241       2  0 21:16 ?        00:00:00 [kworker/3:2-events]
root        5287       2  0 21:49 ?        00:00:01 [kworker/u8:0-events_unbound]
root        5325       2  0 22:02 ?        00:00:00 [kworker/R-tls-s]
root        5341       2  0 22:03 ?        00:00:00 [kworker/2:3-events]
root        5352       2  0 22:10 ?        00:00:00 [kworker/1:0-events]
cy2550      5667    1821  0 22:47 ?        00:00:02 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
cy2550      6327    1597  0 23:05 ?        00:00:00 /usr/bin/snap userd
root        6952       2  0 23:05 ?        00:00:00 [kworker/u8:3-flush-252:0]
root        7068       2  0 23:05 ?        00:00:00 [kworker/3:0-mm_percpu_wq]
root        7069       2  0 23:05 ?        00:00:00 [kworker/1:2-cgroup_destroy]
root        7139       2  0 23:10 ?        00:00:00 [kworker/2:1-inet_frag_wq]
root        7161       2  0 23:13 ?        00:00:00 [kworker/u8:4-events_unbound]
root        7451       2  0 23:17 ?        00:00:00 [kworker/0:2-events]
root        7462       2  0 23:20 ?        00:00:00 [kworker/u8:1-events_freezable_power_]
root        7484       2  0 23:24 ?        00:00:00 [kworker/0:0-events]
root        7537       2  0 23:27 ?        00:00:00 [kworker/2:0-cgroup_destroy]
root        7573       2  0 23:29 ?        00:00:00 [kworker/0:1-events]
root        7577       2  0 23:30 ?        00:00:00 [kworker/u8:2-events_power_efficient]
root        7580       2  0 23:30 ?        00:00:00 [kworker/2:2-cgroup_destroy]
root        7862       2  0 23:31 ?        00:00:00 [kworker/1:1-mm_percpu_wq]
cy2550      7863    2804 99 23:31 pts/0    00:00:00 ps -ef
